answer	qid
in a lair	fables-06-1
The Mouse terrified	fables-06-2
anything	fables-06-3
in a net which had been spread for game	fables-06-4
the Lion	fables-06-5
because a mouse ran into the face	fables-06-6
A trapper	fables-06-7
The lion	fables-06-8
the rope of the net	fables-06-9
by Hurricane Gustav	blogs-03-1
The storm	blogs-03-2
Winds	blogs-03-3
President Bush	blogs-03-4
Storm occurred  	blogs-03-5
to a store named Home Depot in order to purchase a portable generator	blogs-03-6
a large group of pine trees	blogs-03-7
because it owned a group of trees	blogs-03-8
to the house	blogs-03-9
An oven	blogs-06-1
some fire	blogs-06-2
The husband of the narrator	blogs-06-3
the door of the oven	blogs-06-4
we	blogs-06-5
	blogs-06-6
	blogs-06-7
the fire extinguisher	blogs-06-8
a plug-in burner griddle and counter	blogs-06-9
on a branch	fables-01-1
her	fables-01-2
her voice	fables-01-3
tried to discover how to get the cheese	fables-01-4
under the tree	fables-01-5
There once was a crow  	fables-01-6
the fox	fables-01-7
A Lion	fables-02-1
The Bull	fables-02-2
the lion	fables-02-3
The bull	fables-02-4
A lion	fables-02-5
toward the bull	fables-02-6
 a A a I a I	fables-02-7
The Bull	fables-02-8
the bull	fables-02-9
because the lion feared sharp every horn of the bull	fables-02-10
the bull	fables-02-11
on eventful today	blogs-01-1
G20 summit	blogs-01-2
along the street	blogs-01-3
a police car	blogs-01-4
The people	blogs-01-5
The people	blogs-01-6
threw a thing at a police	blogs-01-7
The people	blogs-01-8
at cops	blogs-01-9
things were thrown at cops	blogs-01-10
windows of stores	blogs-01-11
windows of stores	blogs-01-12
windows of stores	blogs-01-13
A Fox	fables-04-1
a Stork	fables-04-2
in a flat and large dish	fables-04-3
 a A	fables-04-4
dish	fables-04-5
because he was n't able to reach some food that was in the pitcher	fables-04-6
into the long and narrow neck	fables-04-7
for the tempting vessel	fables-04-8
bewilderment	blogs-05-1
of students	blogs-05-2
The narrator	blogs-05-3
teaching	blogs-05-4
The narrator	blogs-05-5
that the ankle of the narrator was observed	blogs-05-6
What	blogs-05-7
one of my most embarassing moments	blogs-05-8
What to do	blogs-05-9
which	fables-05-1
As illluck would have trap  however  the Fox made straight for the fields where the corn was standing ripe and ready for cutting  	fables-05-2
Fox	fables-05-3
The agriculturist set a	fables-05-4
onto the tail	fables-05-5
The agriculturist	fables-05-6
The corn	fables-05-7
The agriculturist	fables-05-8
I	blogs-02-1
on my front when	blogs-02-2
I	blogs-02-3
because it wanted the young man	blogs-02-4
The narrator entered the house of the narrator and heard that the asleep family of the narrator was asleep  	blogs-02-5
place	blogs-02-6
mind	blogs-02-7
A young man	blogs-02-8
The narrator	blogs-02-9
 a A a I a I a I a I a I a I a I a I a I a I a I a PS	blogs-02-10
that the flash was an orb	blogs-02-11
some bright flash	blogs-02-12
The squirrel	blogs-04-1
The squirrel 's paw	blogs-04-2
The squirrel 's paw	blogs-04-3
The birds bathed themselves in the bowl  	blogs-04-4
Squirrels	blogs-04-5
I	blogs-04-6
a digital camera	blogs-04-7
birds	blogs-04-8
on the railing	blogs-04-9
 a A	fables-03-1
An Eagle	fables-03-2
An Eagle swooped down upon a Serpent and seized it in his talons with the intention of carrying it off and devouring it  	fables-03-3
A countryman witness	fables-03-4
some of his poison	fables-03-5
into the man 's drinking-horn	fables-03-6
from the drinking vessel	fables-03-7
The eagle	fables-03-8
the drinking vessel	fables-03-9
from the when knocked	fables-03-10
thirst	fables-03-11
of his poison	fables-03-12
by the river	mc500.train.25.0
Will stopped singing and went outside 	mc500.train.111.0
to thunder	mc500.train.111.1
After going swimming and laying out	mc500.train.0.1
a salad	mc500.train.0.2
Kristin	mc500.train.0.3
at Ellen 's house	mc500.train.0.4
time	mc500.train.0.5
because they were tired	mc500.train.0.6
The girls	mc500.train.0.7
Alyssa	mc500.train.0.8
Alyssa	mc500.train.0.9
soup	mc500.train.0.10
to a restaurant	mc500.train.0.11
at Ellen 's house	mc500.train.0.12
Saturday	mc500.train.23.1
all day	mc500.train.23.2
outside the window	mc500.train.23.3
the newspaper	mc500.train.23.4
On the front	mc500.train.23.5
all day	mc500.train.23.6
the story	mc500.train.23.7
The circus was in town  	mc500.train.23.8
no	mc500.train.23.9
Andrew fed his goldfish some goldfish food  	mc500.train.23.10
The people and animals at the circus	mc500.train.23.11
lots of peanuts	mc500.train.23.12
at the circus	mc500.train.23.13
to the circus	mc500.train.23.14
The elephant	mc500.train.23.15
to her back yard	mc500.train.18.1
one morning	mc500.train.18.2
at 8:30 AM	mc500.train.18.3
the biggest , bunch of flowers her mother had ever seen	mc500.train.18.4
